,state,average,standard deviation,highest value in 2017,date of highest value,primary exceedence
0,Alabama,8.974158,7.739944,40.8,2017-01-31 18:00,
1,Alabama,20.71261,8.622241,40.8,2017-01-31 18:00,0.0
2,Alabama,11.458696,8.414054,50.8,2017-10-20 17:00,
3,Alabama,23.389298,9.298161,50.8,2017-10-20 17:00,0.0
4,Alaska,12.569094,12.294333,65.7,2017-01-24 14:00,
5,Alaska,23.121159,14.525068,65.7,2017-01-24 14:00,0.0
6,Arizona,16.990608,13.090725,69.0,2017-02-05 01:00,
7,Arizona,35.238356,12.027014,69.0,2017-02-05 01:00,0.0
8,Arizona,18.24213,13.888388,66.0,2017-11-16 18:00,
9,Arizona,38.561644,13.068066,66.0,2017-11-16 18:00,0.0
10,Arizona,15.281445,12.316862,55.9,2017-10-15 19:00,
11,Arizona,32.684516,12.097929,55.9,2017-10-15 19:00,0.0
12,Arizona,30.627264,12.045869,72.0,2017-10-15 19:00,
13,Arizona,46.489011,9.735759,72.0,2017-10-15 19:00,0.0
14,Arizona,21.710014,13.691345,64.0,2017-04-12 21:00,
15,Arizona,39.879452,10.034377,64.0,2017-04-12 21:00,0.0
16,Arizona,8.421862,7.375466,44.5,2017-12-27 17:00,
17,Arizona,20.564384,9.021314,44.5,2017-12-27 17:00,0.0
18,Arizona,8.316371,7.118178,42.6,2017-12-20 18:00,
19,Arizona,18.685205,8.080043,42.6,2017-12-20 18:00,0.0
20,Arizona,7.712692,6.155675,39.0,2017-11-14 18:00,
21,Arizona,17.38253,7.10483,39.0,2017-11-14 18:00,0.0
22,Arkansas,7.101146,6.331309,40.0,2017-10-19 19:00,
23,Arkansas,16.986981,8.770625,40.0,2017-10-19 19:00,0.0
24,Arkansas,7.596849,6.880005,45.0,2017-11-29 05:00,
25,Arkansas,18.815934,9.449245,45.0,2017-11-29 05:00,0.0
26,California,3.951232,3.181481,28.0,2017-11-30 18:00,
27,California,9.74581,4.45578,28.0,2017-11-30 18:00,0.0
28,California,14.160002,12.355779,81.2,2017-11-22 10:00,
29,California,26.066667,15.355326,81.2,2017-11-22 10:00,0.0
30,California,22.512752,11.045617,86.4,2017-11-22 10:00,
31,California,32.914958,12.391892,86.4,2017-11-22 10:00,0.0
32,California,5.696275,6.026627,37.0,2017-10-27 19:00,
33,California,13.316418,8.542332,37.0,2017-10-27 19:00,0.0
34,California,4.167727,5.414947,39.0,2017-12-14 18:00,
35,California,11.612637,7.842524,39.0,2017-12-14 18:00,0.0
36,California,15.763924,9.692595,65.6,2017-12-27 20:00,
37,California,27.733884,11.53642,65.6,2017-12-27 20:00,0.0
38,California,12.848624,11.147463,66.0,2017-12-15 20:00,
39,California,28.83454,11.676127,66.0,2017-12-15 20:00,0.0
40,California,12.634422,8.552119,62.5,2017-10-16 19:00,
41,California,27.705398,10.27972,62.5,2017-10-16 19:00,0.0
42,California,7.997532,8.576975,56.3,2017-10-06 05:00,
43,California,22.33831,11.108479,56.3,2017-10-06 05:00,0.0
44,California,2.916161,2.913279,34.0,2017-11-16 22:00,
45,California,7.792222,4.568756,34.0,2017-11-16 22:00,0.0
46,California,14.550807,13.00194,61.3,2017-08-18 03:00,
47,California,35.35098,11.950381,61.3,2017-08-18 03:00,0.0
48,California,5.138244,4.676649,34.2,2017-12-08 21:00,
49,California,10.217631,6.658059,34.2,2017-12-08 21:00,0.0
50,California,12.403197,12.300002,73.6,2017-12-25 09:00,
51,California,29.018768,14.013002,73.6,2017-12-25 09:00,0.0
52,California,6.15602,7.206943,63.0,2017-11-21 17:00,
53,California,16.341108,11.222509,63.0,2017-11-21 17:00,0.0
54,California,3.100568,3.203229,31.0,2017-11-24 19:00,
55,California,9.197802,4.443015,31.0,2017-11-24 19:00,0.0
56,California,-0.243103,1.007272,12.0,2017-01-31 15:00,
57,California,0.814159,1.596309,12.0,2017-01-31 15:00,0.0
58,California,1.174528,1.368635,17.0,2017-11-25 13:00,
59,California,3.1375,2.367458,17.0,2017-11-25 13:00,0.0
60,California,6.299163,5.082638,37.5,2017-10-27 17:00,
61,California,14.332782,7.503712,37.5,2017-10-27 17:00,0.0
62,California,9.211621,9.297892,57.0,2017-10-16 20:00,
63,California,19.825545,12.504528,57.0,2017-10-16 20:00,0.0
64,California,10.346425,9.010359,58.8,2017-12-14 18:00,
65,California,21.165782,12.452939,58.8,2017-12-14 18:00,0.0
66,California,16.120603,12.565515,99.1,2017-10-24 08:00,
67,California,30.298039,15.029625,99.1,2017-10-24 08:00,0.0
68,California,6.709533,6.063306,40.6,2017-12-08 18:00,
69,California,13.452174,8.189809,40.6,2017-12-08 18:00,0.0
70,California,7.852434,8.442868,45.3,2017-01-30 22:00,
71,California,17.344134,11.601671,45.3,2017-01-30 22:00,0.0
72,California,10.130066,8.004316,45.0,2017-12-14 18:00,
73,California,17.795252,10.324911,44.0,2017-10-17 08:00,0.0
74,California,6.209818,6.668163,48.8,2017-10-26 19:00,
75,California,17.455016,10.162876,48.8,2017-10-26 19:00,0.0
76,California,2.643859,2.873827,22.4,2017-01-06 18:00,
77,California,7.046273,4.960191,22.4,2017-01-06 18:00,0.0
78,California,2.403074,2.780941,26.0,2017-12-07 19:00,
79,California,7.469388,4.712627,26.0,2017-12-07 19:00,0.0
80,California,18.33179,11.611746,69.2,2017-11-15 18:00,
81,California,32.477108,12.545808,69.2,2017-11-15 18:00,0.0
82,California,7.214846,5.697466,50.8,2017-12-29 18:00,
83,California,15.041504,8.677022,50.8,2017-12-29 18:00,0.0
84,California,11.186606,10.040263,57.3,2017-12-15 18:00,
85,California,22.725212,13.507309,57.3,2017-12-15 18:00,0.0
86,California,20.610154,9.878118,64.9,2017-10-26 20:00,
87,California,33.967409,10.76249,64.9,2017-10-26 20:00,0.0
88,California,2.213083,1.86399,19.0,2017-09-11 19:00,
89,California,5.201102,2.837359,19.0,2017-09-11 19:00,0.0
90,California,9.985899,6.680726,55.5,2017-11-15 17:00,
91,California,19.253315,9.327361,55.5,2017-11-15 17:00,0.0
92,California,2.090835,3.822568,35.0,2017-10-16 08:00,
93,California,7.847352,6.417632,35.0,2017-10-16 08:00,0.0
94,California,8.401024,7.254953,56.9,2017-10-16 19:00,
95,California,18.283427,10.371838,56.9,2017-10-16 19:00,0.0
96,California,14.546024,10.541835,76.2,2017-11-21 16:00,
97,California,24.865909,13.46232,76.2,2017-11-21 16:00,0.0
98,California,8.244972,7.700262,49.0,2017-12-01 19:00,
99,California,18.980332,9.347892,49.0,2017-12-01 19:00,0.0
100,California,7.790594,9.542921,46.5,2017-12-01 17:00,
101,California,21.460559,12.123059,46.5,2017-12-01 17:00,0.0
102,California,8.615665,8.040528,45.4,2017-10-25 20:00,
